run_id,method,accuracy,n_features,fitness,runtime,shap_time,best_mask_hash
0,SHAP,0.9473684210526315,10,0.08070175438596497,0.2798602089751512,0.044037749990820885,
0,GA,0.9824561403508771,7,0.039122807017543906,439.52129604201764,0.0,
0,PSO,0.9912280701754386,11,0.044561403508771955,587.5036899579864,0.0,
0,SA,0.9736842105263158,11,0.06035087719298243,29.59735283299233,0.0,
1,SHAP,0.9385964912280702,10,0.08859649122807015,0.3059986250009388,0.044278667017351836,
1,GA,0.9736842105263158,7,0.0470175438596491,426.6424352079921,0.0,
1,PSO,0.9649122807017544,6,0.05157894736842106,536.5440365000104,0.0,
1,SA,0.956140350877193,11,0.07614035087719301,28.363073709013406,0.0,
2,SHAP,0.9736842105263158,10,0.05701754385964909,0.3280307080131024,0.05377050000242889,
2,GA,1.0,6,0.020000000000000004,455.3886910410074,0.0,
2,PSO,1.0,7,0.023333333333333334,599.910817832977,0.0,
2,SA,1.0,12,0.04000000000000001,27.597779208997963,0.0,
3,SHAP,0.9385964912280702,10,0.08859649122807015,0.35278629200183786,0.041556417010724545,
3,GA,0.9824561403508771,8,0.04245614035087725,433.5800529579865,0.0,
3,PSO,0.9824561403508771,8,0.04245614035087725,585.9950130830111,0.0,
3,SA,0.9824561403508771,14,0.062456140350877244,25.0448459580075,0.0,
4,SHAP,0.9473684210526315,10,0.08070175438596497,0.26445129100466147,0.04177391601842828,
4,GA,0.9912280701754386,7,0.031228070175438622,427.60356841699104,0.0,
4,PSO,0.9824561403508771,7,0.039122807017543906,587.1246425000136,0.0,
4,SA,0.9824561403508771,10,0.04912280701754391,24.376259457989363,0.0,
5,SHAP,0.9385964912280702,10,0.08859649122807015,0.2650375830125995,0.03957324998918921,
5,GA,0.9824561403508771,9,0.045789473684210574,489.45377112500137,0.0,
5,PSO,0.9736842105263158,8,0.05035087719298243,563.2941236670013,0.0,
5,SA,0.9649122807017544,7,0.054912280701754385,25.873216000007233,0.0,
6,SHAP,0.9473684210526315,10,0.08070175438596497,0.2830846660071984,0.046322250011144206,
6,GA,0.9824561403508771,7,0.039122807017543906,456.66762745799497,0.0,
6,PSO,0.9912280701754386,9,0.03789473684210529,590.0325197080092,0.0,
6,SA,0.9824561403508771,11,0.05245614035087724,27.5476846669917,0.0,
7,SHAP,0.9298245614035088,10,0.09649122807017543,0.39417675000731833,0.07310429197968915,
7,GA,0.9736842105263158,3,0.03368421052631576,431.839608957991,0.0,
7,PSO,0.9736842105263158,6,0.04368421052631577,534.4378839579877,0.0,
7,SA,0.9649122807017544,9,0.06157894736842105,24.46580795798218,0.0,
8,SHAP,0.956140350877193,10,0.07280701754385968,0.2795913749723695,0.046559083013562486,
8,GA,0.9912280701754386,5,0.024561403508771954,410.237348708004,0.0,
8,PSO,0.9912280701754386,8,0.03456140350877196,589.5129262500268,0.0,
8,SA,0.9912280701754386,12,0.047894736842105295,31.402133499999763,0.0,
9,SHAP,0.9385964912280702,10,0.08859649122807015,0.37689395900815725,0.056436375016346574,
9,GA,0.9912280701754386,7,0.031228070175438622,435.8569875829853,0.0,
9,PSO,0.9736842105263158,6,0.04368421052631577,540.8311605420022,0.0,
9,SA,0.9736842105263158,10,0.05701754385964909,24.904355583013967,0.0,
