alpha,run_id,accuracy,n_features,fitness,runtime
0.7,0,0.956140350877193,2,0.05070175438596493,389.159913334006
0.7,1,0.9473684210526315,3,0.06684210526315792,374.0849901670008
0.7,2,1.0,3,0.030000000000000006,441.12373016698984
0.7,3,0.9736842105263158,3,0.048421052631578934,373.8169583340059
0.7,4,0.956140350877193,3,0.06070175438596494,377.85540145801497
0.7,5,0.9473684210526315,3,0.06684210526315792,420.17001795899705
0.7,6,0.9824561403508771,3,0.04228070175438601,381.8719721249945
0.7,7,0.9649122807017544,3,0.054561403508771936,423.51887762499973
0.7,8,0.9649122807017544,2,0.04456140350877193,371.93932775000576
0.7,9,0.9649122807017544,3,0.054561403508771936,404.80850008301786
0.8,0,0.9824561403508771,5,0.047368421052631615,432.01204154099105
0.8,1,0.9649122807017544,5,0.06140350877192982,422.4553649580048
0.8,2,1.0,4,0.02666666666666666,427.91348004201427
0.8,3,0.9824561403508771,5,0.047368421052631615,452.8862021249952
0.8,4,0.9824561403508771,6,0.05403508771929828,425.6200764999958
0.8,5,0.9736842105263158,6,0.061052631578947344,439.86021216699737
0.8,6,0.9736842105263158,4,0.04771929824561401,435.55507116700755
0.8,7,0.9649122807017544,3,0.048070175438596485,421.6314818750252
0.8,8,0.9912280701754386,3,0.02701754385964914,412.5535467499867
0.8,9,0.9824561403508771,4,0.04070175438596495,409.01983191698673
0.9,0,0.9824561403508771,7,0.039122807017543906,408.2390861250169
0.9,1,0.9736842105263158,7,0.04701754385964909,411.4469931249914
0.9,2,1.0,6,0.019999999999999997,471.89660566701787
0.9,3,0.9824561403508771,8,0.04245614035087723,421.2617544159875
0.9,4,0.9912280701754386,7,0.031228070175438615,419.66473954200046
0.9,5,0.9824561403508771,9,0.04578947368421057,445.50510112498887
0.9,6,0.9824561403508771,7,0.039122807017543906,414.6018459170009
0.9,7,0.9736842105263158,3,0.03368421052631576,371.4028042910213
0.9,8,0.9912280701754386,5,0.02456140350877195,400.3070148330007
0.9,9,0.9912280701754386,7,0.031228070175438615,411.2589300000109
