method,n_runs,accuracy_mean,accuracy_std,n_features_mean,n_features_std,fitness_mean,fitness_std,runtime_mean,runtime_std
SHAP,10,0.9456140350877194,0.012266770154036854,10.0,0.0,0.08228070175438597,0.011040093138633168,0.3129911458003335,0.04748879656616335
GA,10,0.9850877192982456,0.008321783316232569,6.6,1.6465452046971292,0.03542105263157897,0.008899443564401045,440.6791387497971,21.855072326438943
PSO,10,0.982456140350877,0.010940518674777591,7.6,1.577621275493231,0.04112280701754387,0.00813189383914775,571.5186813999026,25.361558352108393
SA,10,0.9771929824561403,0.013206537766825973,10.7,1.8885620632287057,0.056192982456140364,0.009892569544070022,26.91725088749954,2.388908493635388
